Sr. No.,Region,CM,CA,Vm,FC,CC,CH,CS,CN,CO,qHe,GCV (experimental) (MJ/kg)
1,MCL,6,38,26.3,29.7,41.9,3.29,0.26,0.89,53.7,1.75,17.17
2,MCL,5.8,41.1,23.9,29.2,40.2,2.87,0.18,0.56,56.2,1.81,15.53
3,MCL,7.5,34,26.2,32.3,45.8,3.26,0.29,0.71,50,1.71,17.63
4,MCL,7.6,32.4,22.5,37.5,45.4,2.81,0.26,0.85,50.7,1.75,17.48
5,MCL,8.3,32.5,27,32.2,43.5,3.19,0.87,0.81,51.7,1.66,17.24
6,MCL,5.8,44.7,22.5,27,37,2.59,0.24,0.75,59.4,1.85,14.09
7,MCL,5.7,47.8,22.3,24.2,32.9,2.4,0.4,0.8,63.5,1.92,12.56
8,MCL,6.8,41.8,25,26.4,39.2,2.68,0.35,0.83,56.9,1.76,15.13
9,MCL,4.4,35.6,27.6,32.4,45.5,3.25,0.62,0.91,49.7,1.7,18.17
10,MCL,4.6,39.7,25.5,30.2,40.2,3.09,0.62,0.94,55.2,1.74,16.74
11,MCL,5.5,35.5,28.7,30.3,45.4,3.12,0.54,0.92,50,1.6,18.02
12,MCL,4.8,35.5,28.4,31.3,46.1,3.23,0.48,0.99,49.2,1.6,18.31
13,MCL,7.1,34.4,27.7,30.8,46.1,3.42,0.62,1.1,48.8,1.71,18.09
14,NCL,9.5,17.6,29.1,43.8,57.7,3.47,0.29,1.12,37.5,1.47,22.55
15,NCL,7.2,17.4,30,45.4,58.8,3.54,0.37,1.1,36.2,1.54,23.29
16,NCL,5.2,36.7,28.2,29.9,43.3,3.31,0.51,0.84,52,1.69,17.27
17,NCL,6.7,24.8,26.8,41.7,51.9,3,0.4,0.79,43.9,1.77,19.95
18,NCL,6.2,28.1,27.4,38.3,51,3.58,0.39,0.95,44.1,1.63,18.28
19,NCL,7.1,33.5,25.5,33.9,46,3.28,0.3,0.89,49.5,1.59,16.12
20,NCL,6.4,39.3,22.5,31.8,41.1,2.75,0.44,0.82,54.9,1.7,17.1
21,NCL,5.7,36.6,27.7,30,42.6,3.16,0.34,0.77,53.1,1.62,14.87
22,NCL,5.6,42.4,26.1,25.9,38.8,2.98,0.35,0.72,57.1,1.88,15.79
23,NCL,7,40.7,24.4,27.9,39.3,3.06,0.43,0.75,56.5,1.75,18.94
24,NCL,9.9,28.2,27.5,34.4,48.5,3.34,0.35,0.97,46.8,1.51,17.98
25,NCL,7.2,34.4,25.3,33.1,45.3,3.12,0,0.57,51,1.61,15.74
26,NCL,10,34.5,24.7,30.8,41.2,3.02,0.44,0.64,54.7,1.6,20.5
27,NCL,5.4,30,29.4,35.2,48.8,3.78,0.37,0.85,46.2,1.55,18.56
28,WCL,8.2,31.7,27.3,32.8,46.3,2.7,0.4,1,49.6,1.64,21.21
29,WCL,6.3,26.2,24.6,42.9,54.1,2.9,1,1.2,40.8,1.63,18.13
30,WCL,8,32.4,24.4,35.2,45.6,2.6,1.1,1,49.7,1.69,16.83
31,WCL,7.6,38.1,24.5,29.8,41.2,2.5,0.4,0.9,55,1.7,21.63
32,WCL,9,21.4,26.3,43.3,54.6,3,0.4,1.2,40.8,1.58,16.3
33,WCL,8.1,35.5,24.5,31.9,41.5,2.3,0.3,1,54.9,1.71,8.84
34,WCL,4.9,60.8,17.4,16.9,23,1.2,0.5,0.5,74.8,1.82,18.14
35,WCL,8.8,31.8,24.6,34.8,43.8,2.6,2.2,0.9,50.5,1.67,22.59
36,WCL,7.4,22.1,29.2,41.3,54.8,3.5,1.1,1.2,39.4,1.49,18.38
37,WCL,8.3,32.2,25,34.5,45,2.8,1.9,1,49.3,1.61,17.61
38,WCL,7.3,33.4,25.1,34.2,43.5,2.6,1.1,1,51.8,1.55,21.85
39,WCL,8.5,18.9,29.7,42.9,55.1,3.3,0.7,1.2,39.7,1.54,18.7
40,WCL,7.5,30.6,25.4,36.5,46.6,2.7,2,1,47.7,1.55,17.64
41,WCL,6.9,34.3,24,34.8,44.1,2.6,1.4,1,50.9,1.57,15.24
42,WCL,5.3,43.2,22.5,29,37.8,2.2,2,0.8,57.2,1.62,17.93
43,WCL,7.3,33.1,25.8,33.8,44.9,2.7,0.7,0.9,50.8,1.46,16.01
44,WCL,6.3,37.9,24.1,31.7,42.5,2.52,0.46,0.79,53.7,1.78,19.4
45,WCL,8.4,26.8,26.4,38.4,48.4,3.35,0.52,0,47.7,1.58,18.21
46,WCL,6.5,33.4,26.2,33.9,45.7,3,0.5,1.3,49.5,1.67,22.76
47,WCL,4.3,25.5,28.4,41.8,56,3.6,0.6,1.5,38.3,1.58,23.67
48,WCL,3.6,23.5,29.8,43.1,57.7,3.7,0.6,1.6,36.4,1.54,20.98
49,WCL,5.1,29.3,27.3,38.3,51.8,3.3,0.6,1.1,43.2,1.62,19.72
50,WCL,4.3,33.3,26.7,35.7,48.6,3.1,0.6,1.2,46.5,1.65,13.78
51,WCL,5.7,46.3,22,26,34.8,3.3,0.6,1.3,60,1.6,15.65
52,WCL,5.4,40.7,23.9,30,40.4,2.6,0.4,1,55.6,1.79,16.67
53,WCL,6,38.8,23.9,31.3,41.6,2.7,0.5,0.9,54.3,1.69,16.84
54,WCL,6,42.8,24,27.2,37.8,2.5,0.4,1.1,58.2,1.74,17.22
55,WCL,0.8,45.7,15.7,37.8,39.1,2.75,0.24,0.79,57.1,1.78,20.08
56,WCL,5,31.3,28.9,34.8,48.4,3.09,0.34,0.73,47.4,1.67,22.26
57,SECL,4.6,29,23.3,43.1,53.3,3,1,1,41.7,1.53,25.47
58,SECL,5.5,18.7,25.5,50.3,61.1,3.6,1.2,1,33.1,1.45,18.63
59,SECL,8.4,31.1,21.9,38.6,46.5,2.3,1,0.7,49.5,1.57,19.07
60,SECL,8.2,30.8,22,39,47.3,2.4,1,0.6,48.7,1.56,21.66
61,SECL,5.6,26.9,24.3,43.2,53,3,1.1,0.9,42,1.52,22.13
62,SECL,6.6,25.3,26.6,41.5,52.7,3.2,1.1,1.2,41.8,1.54,26.29
63,SECL,6,15,26.9,52.1,62.5,3.7,1.3,0.5,32,1.46,20.9
64,SECL,7.2,28.9,26,37.9,48.2,3,1,0.7,47.1,1.52,23.3
65,SECL,9.1,18.2,25.6,47.1,57.5,3,1.1,0.8,37.6,1.49,20.4
66,SECL,5.4,32.6,25.9,36.1,49.1,2.9,0.9,0.6,46.5,1.55,23.46
67,SECL,7.1,21.5,24.7,46.7,57.8,3,1.2,0.6,37.4,1.46,26.65
68,SECL,3.8,18.4,25,52.8,61.9,3.4,1.2,0.4,33.1,1.48,25.05
69,SECL,7.2,16.7,27.8,48.3,61.2,3.4,1.1,0.7,33.6,1.43,25.49
70,SECL,6.7,17.1,26.2,50,62.2,3.4,1.2,0.5,32.7,1.45,17.6
71,SECL,6.1,36.4,24.9,32.6,43.9,2.6,0.9,0.2,52.4,1.68,14.93
72,SECL,6.8,43.2,22.2,27.8,36.6,2.2,0.7,0.2,60.3,1.77,23.86
73,SCFL,7.8,17.1,24.9,50.2,60.5,3.2,0.3,1.1,34.9,1.48,21.4
74,SCFL,7.4,24.3,27.1,41.2,53.6,3.2,1.1,1.2,40.9,1.54,20.73
75,SCFL,7.1,29,28.1,35.8,50.4,3.1,1.5,1.1,43.9,1.52,20.9
76,SCFL,5.7,37.5,23.2,33.6,43.1,2.6,1,1.1,52.2,1.59,17.33
77,SCFL,8.9,35.9,23.2,32,42,2.3,2.2,1,52.5,1.64,16.41
78,SCFL,5.5,40.1,24.2,30.2,42,2.4,0.7,1,53.9,1.68,16.85
79,SCFL,5.1,46.5,20.8,27.6,35.6,2,0.5,0.8,61.1,1.78,13.91